acronym,struct_id,x,y
TMv,1,667.5067067401347,750.4377840856384
SSp-m6b,2,335.64046772979503,495.071017207275
int,6,466.92116653840543,665.5216542172202
PSV,7,565.1861662308919,1018.2231166755269
SSp-tr6a,9,132.85774518475264,680.6182923582904
SCig,10,218.0588573077648,899.5652936141475
IF,12,497.8707313701093,861.7375455090096
PT,15,448.6297488171445,584.4257671166156
SCiw,17,239.07716778080305,914.2692196898282
IG,19,292.69149494788763,483.2275757816851
ENTl2,20,487.5187332961028,898.2034173182018
AAA,23,653.0782369480348,573.4314258551287
SCdg,26,245.4726086097748,934.4900052559866
IGL,27,371.3289973691903,772.7744226834259
ENTl6a,28,453.0538965323894,906.796964934832
PVa,30,640.6897325824111,601.3993147178134
VISp6a,33,152.93288596871312,893.9893954787909
III,35,379.7251936554777,910.3967170785688
GU1,36,452.7031888548047,446.45693670189456
PVH,38,566.2813139072848,606.6561483443709
VISpm2/3,41,55.26258187716885,843.5712476814302
SCdw,42,249.19186053552613,937.071482203626
PRC,50,329.69489063067493,763.385118273523
ENTl3,52,487.7845461171683,886.7067330761988
mfb,54,559.0423962386511,784.119447146563
ACB,56,580.9411105552231,423.7422668326152
MT,58,531.4758060796162,831.9895290373172
IMD,59,407.0637718950173,695.9163312737373
mlf,62,498.3185019249085,1071.2282525587198
PVHd,63,567.60181258707,651.1556926562668
AD,64,348.3319016348672,609.2549002569609
LT,66,444.0022366360993,825.9374860210244
INC,67,395.16109773228976,842.5211468994581
FRP1,68,272.6140261967878,193.1312022454389
ADP,72,556.9877624836732,504.9259921631669
VISl6a,74,209.9257831744284,900.7040600457879
DT,75,313.2534055186867,867.9488298987077
mcp,78,554.5795214618282,953.494842251312
VL,81,334.85659698066115,605.8775141097877
IO,83,708.0039432700612,1203.6427960090512
PL6a,84,295.98834319424856,346.1715197275636
AHN,88,631.457760690352,607.7080076668252
IP,91,392.6693934227573,1152.604053617158
moV,93,600.2904785894207,921.453098236776
DCO,96,500.46789263569184,1127.2108507732817
TEa1,97,336.8031122598524,835.7129153454662
SEZ,98,306.0999384543244,494.3779197561619
IPN,100,535.0430769230769,901.238371040724
VCO,101,572.5745197554583,1064.3271011497552
nst,102,538.7719020326795,698.3051333167207
SOCm,105,673.8052291331564,998.4853033081644
ISN,106,550.1901993355482,1122.1168327796236
chpl,108,396.84027484830926,891.936421965182
SSp-ll2/3,113,95.43330363826458,585.3881547608
SOCl,114,665.2380960846712,1004.6304941717482
IV,115,377.8944612841003,958.7842380821164
och,117,703.7578631313651,543.8525036004527
PVi,118,629.9324996585965,681.4072845744162
AIp1,120,521.3844582715301,584.3292499727513
VISl6b,121,217.10088912133887,895.1481171548118
POR,122,685.1637180475168,975.8339208709768
KF,123,472.8315354496992,1037.3530472700706
opt,125,606.6425613197806,672.8861826859096
PVp,126,683.291350214358,764.2699144173798
MRN,128,392.10108693792415,894.604066373519
V3,129,392.0681337719987,639.2143722761078
LA,131,523.488334951826,726.844105830382
PL6b,132,315.0960314488956,379.65799326095095
PVpo,133,628.0887380797573,549.5992224750759
IRN,136,608.517413279241,1167.4816635811335
ENTl5,139,482.5330710105307,884.1925762926817
AQ,140,297.19104960814894,1014.1205756361412
AMBv,143,668.5248628884826,1213.9524680073123
V4,145,443.4958383877205,1122.4854693874283
PRNr,146,532.4819847536281,950.6155534321264
LC,147,428.2066823139583,1071.5917437525886
GU4,148,445.6384914410421,462.4783468594421
PVT,149,391.4143186256423,640.7515006164451
V4r,153,506.4198405822215,1167.2914529544273
LD,155,321.896326946612,660.8474880076814
AUDd6a,156,268.55059662508535,759.3187636150819
pc,158,314.2839496759436,804.3905070529928
AON,159,515.5987471164215,281.35936266856976
LDT,162,398.0718119090212,1032.2325581395348
AIp2/3,163,515.1604939500575,588.7080100143845
c,164,556.7083333333334,1272.0416666666667
PRP,169,507.8768716347454,1152.662249321827
PL1,171,267.0613171348175,287.0545325427521
RCH,173,694.9972194505422,618.2375174615845
NR,177,581.3463590290744,1238.06721792478
LGv,178,392.6770312168817,764.7871997476228
GU2/3,180,447.8998477414989,448.21940151462377
RE,181,512.1501861050963,630.6206994155026
LH,186,322.7503466601686,698.3395935228216
GU5,187,445.58118382301706,468.3145137332712
AOBgl,188,349.1665350201354,210.13385215015475
RH,189,472.172822898979,660.915363750634
py,190,720.1626058887522,1106.7281222691847
LHA,194,598.3027365357751,667.6731356817218
AOBgr,196,380.7569999273678,174.69775021789658
RL,197,443.4882150043116,860.5125754527163
pyd,198,706.002286562732,1294.651729769859
SSp-bfd2/3,201,151.70637977889766,668.058582886995
MV,202,483.4942899281288,1126.2792982378903
LIN,203,628.5483228921953,1190.175672148264
AOBmi,204,364.3526272133867,195.61336506906127
RM,206,653.0742482810523,1054.127082406869
AP,207,501.2925886632313,1265.5131100333435
LAV,209,482.8165916693907,1108.6734523552857
LM,210,621.3949692681164,791.1851144052476
ACAd2/3,211,181.53129664379776,435.0585655801454
