cell_ID,nCount_RNA,nFeature_RNA,cell_type,fov,Area,roi_name,roi_acronym,AP_location,DV_location,ML_location,mice_id,roi_id,depth,level_3_parent_roi_id,level_3_parent_roi_name,level_4_parent_roi_acronym,level_5_parent_roi_acronym,top_neurotransmitters,top_acronyms,cell_type_annotation,high_level_cell_type,highest_level_cell_type,log2GeneCount,selected_for_analysis,neurotransmitter_type,slide,level_3_parent_roi_acronym,experiment_group
c_1_363_553,583,264,if,363,13085,Periaqueductal gray,PAG,-4.13,2.77,0.45,1_7,795.0,5.0,313.0,Midbrain,MBmot,PAG,Microglia,CTX,Microglia Dnm2-Taldo1-Bcl2l1 Isocortex,Microglia,Glial,9.18982455888002,1,Glut,Slide1_AA,MB,AA MOR
c_1_362_357,580,260,gn,362,7388,Periaqueductal gray,PAG,-4.88,2.93,0.45,1_7,795.0,5.0,313.0,Midbrain,MBmot,PAG,Astrocyte, ,Astrocyte Oprm1-Tnks-Prkar2a LH-RSC,Astrocyte,Glial,9.18239435340453,1,GABA-Hist,Slide1_AA,MB,AA MOR
c_1_192_885,168,100,zo,192,2799,Superior colliculus superficial gray layer,SCsg,-3.24,1.58,0.42,1_6,842.0,6.0,313.0,Midbrain,MBsen,SCs,endothelial, ,,,,7.40087943628218,1,Undefined,Slide1_AA,MB,AA MOR
c_1_206_277,2145,469,on,206,14992,Periaqueductal gray,PAG,-4.54,3.18,0.42,1_6,795.0,5.0,313.0,Midbrain,MBmot,PAG,Glut-neuroendocrine-Neuropeptide,MB-IB,Glut-Astrocyte Apc-Dgki-Csf1 MB-BST-HY-TH,Glut-Astrocyte,Neuronal,11.0674343607565,1,Glut-GABA,Slide1_AA,MB,AA MOR
c_1_224_194,1303,398,vk,224,8605,Periaqueductal gray,PAG,-3.53,3.6,0.42,1_6,795.0,5.0,313.0,Midbrain,MBmot,PAG,GABA,MB,,,,10.3487281542311,1,GABA-Chol,Slide1_AA,MB,AA MOR
c_1_380_379,812,292,on,380,7049,Periaqueductal gray,PAG,-3.31,3.07,0.45,1_7,795.0,5.0,313.0,Midbrain,MBmot,PAG,Glut-neuroendocrine-Neuropeptide,MB-IB,Glut-Astrocyte Apc-Dgki-Csf1 MB-BST-HY-TH,Glut-Astrocyte,Neuronal,9.66711154207503,1,Glut-Hist,Slide1_AA,MB,AA MOR
c_1_193_3,1685,436,rt,193,10570,Superior colliculus superficial gray layer,SCsg,-2.95,1.95,0.42,1_6,842.0,6.0,313.0,Midbrain,MBsen,SCs,Glut-Neuropeptide,CTX,Glut-Astrocyte Ndrg4-Snap25-Penk Isocortex:L2/3/5,Glut-Astrocyte,Neuronal,10.7193888209421,1,Glut,Slide1_AA,MB,AA MOR
c_1_396_172,4016,537,lm,396,28383,Red nucleus,RN,-3.52,4.33,0.45,1_7,214.0,5.0,313.0,Midbrain,MBmot,RN,Glut,MB-HB,Glut-GABA-Astrocyte Pecam1-Esam-Id1 P-MY-MB,Glut-GABA-Astrocyte,Neuronal,11.9719027460455,1,Glut-GABA-Sero-Hist,Slide1_AA,MB,AA MOR
c_1_331_102,924,313,lt,331,10186,Superior colliculus optic layer,SCop,-3.47,1.68,0.45,1_7,851.0,6.0,313.0,Midbrain,MBsen,SCs,Glut-neuroendocrine-Neuropeptide,MB,Glut-Astrocyte Ndrg2-Adgrg1-Vegfa IC-SCs-LH,Glut-Astrocyte,Neuronal,9.85330955540367,1,Glut-Sero,Slide1_AA,MB,AA MOR
c_1_190_541,530,255,ms,190,3595,Inferior colliculus dorsal nucleus,ICd,-5.09,2.11,0.42,1_6,820.0,6.0,313.0,Midbrain,MBsen,IC,Astrocyte, ,Astrocyte Clasp2-Ptprs-Alcam IB-MB-HB,Astrocyte,Glial,9.05256805080415,1,Chol,Slide1_AA,MB,AA MOR
c_1_207_93,1719,486,ck,207,17196,Periaqueductal gray,PAG,-3.9,2.71,0.42,1_6,795.0,5.0,313.0,Midbrain,MBmot,PAG,Glut-neuroendocrine-Neuropeptide,MB,Glut-Astrocyte Ndrg2-Adgrg1-Vegfa IC-SCs-LH,Glut-Astrocyte,Neuronal,10.7481928495895,1,Glut-GABA,Slide1_AA,MB,AA MOR
c_1_223_614,1535,458,fa,223,9208,Paratrochlear nucleus,Pa4,-4.18,3.88,0.42,1_6,606826663.0,5.0,313.0,Midbrain,MBmot,Pa4,Glut-neuroendocrine-Neuropeptide,MB,Glut-Astrocyte Apc-Dgki-Csf1 MB-BST-HY-TH,Glut-Astrocyte,Neuronal,10.5849625007212,1,Glut-GABA,Slide1_AA,MB,AA MOR
c_1_206_237,835,267,on,206,7429,Periaqueductal gray,PAG,-4.62,3.12,0.42,1_6,795.0,5.0,313.0,Midbrain,MBmot,PAG,Glut-neuroendocrine-Neuropeptide,MB-IB,Glut-Astrocyte Apc-Dgki-Csf1 MB-BST-HY-TH,Glut-Astrocyte,Neuronal,9.70735913208088,1,Undefined,Slide1_AA,MB,AA MOR
c_1_255_110,2963,573,su,255,17061,Midbrain,MB,-3.51,5.17,0.42,1_6,313.0,3.0,313.0,Midbrain,MB,MB,,,Hist-Dopa-Astrocyte Trim33-Kcnj9-Htra VTA,Hist-Dopa-Astrocyte,Neuronal,11.5333297323058,1,GABA-Chol-Dopa-Hist,Slide1_AA,MB,AA MOR
c_1_346_477,601,267,ms,346,4568,Periaqueductal gray,PAG,-5.0,2.45,0.45,1_7,795.0,5.0,313.0,Midbrain,MBmot,PAG,Astrocyte, ,Astrocyte Clasp2-Ptprs-Alcam IB-MB-HB,Astrocyte,Glial,9.2336196767597,1,Sero-Hist,Slide1_AA,MB,AA MOR
c_1_378_244,3788,599,ot,378,26226,Midbrain,MB,-4.59,3.98,0.45,1_7,313.0,3.0,313.0,Midbrain,MB,MB,Chol,HB,,,,11.8876014245087,1,Glut-GABA-Chol-Sero-Hist,Slide1_AA,MB,AA MOR
c_1_174_621,459,240,if,174,4497,Inferior colliculus dorsal nucleus,ICd,-5.03,1.22,0.42,1_6,820.0,6.0,313.0,Midbrain,MBsen,IC,Microglia,CTX,Microglia Dnm2-Taldo1-Bcl2l1 Isocortex,Microglia,Glial,8.84549005094438,1,Glut,Slide1_AA,MB,AA MOR
c_1_224_649,358,186,ms,224,2541,Nucleus of the posterior commissure,NPC,-2.71,2.92,0.42,1_6,634.0,6.0,313.0,Midbrain,MBmot,PRT,Astrocyte, ,,,,8.48784003382305,1,Undefined,Slide1_AA,MB,AA MOR
c_1_346_481,215,149,nl,346,4271,Periaqueductal gray,PAG,-4.61,2.33,0.45,1_7,795.0,5.0,313.0,Midbrain,MBmot,PAG,Undefined, ,,,,7.75488750216347,1,Undefined,Slide1_AA,MB,AA MOR
c_1_365_277,1828,486,fa,365,13860,Midbrain,MB,-2.78,2.7,0.45,1_7,313.0,3.0,313.0,Midbrain,MB,MB,Glut-neuroendocrine-Neuropeptide,MB,,,,10.8368393597487,1,Glut,Slide1_AA,MB,AA MOR
